"Connect ID","Node A","Node B","Node C","Node D","Node E","Node F","Node G","Node H"
"6071","8589934865","25769803809","8589934915","","","","",""
"6072","8589934865","8589934934","","","","","",""
"6073","8589934866","25769803810","8589934871","","","","",""
"6074","8589934866","8589934890","8589936066","","","","",""
"6075","8589934867","8589935456","","","","","",""
"6076","8589934867","8589934956","8589936223","8589936230","","","",""
"6077","8589934868","8589934925","8589936083","","","","",""
"6078","8589934868","8589935207","8589935250","8589936283","","","",""
"6079","8589934869","8589934904","8589935243","","","","",""
"6080","8589934869","8589934916","8589936377","","","","",""
"6081","8589934870","25769803811","8589934922","","","","",""
"6082","8589934870","25769803812","8589934947","","","","",""
"6083","8589934871","8589934956","8589935751","","","","",""
"6084","8589934872","25769803813","8589934900","","","","",""
"6085","8589934872","8589934895","","","","","",""
"6086","8589934873","8589934952","","","","","",""
"6087","8589934874","8589934931","","","","","",""
"6088","8589934875","8589934881","","","","","",""
"6089","8589934875","8589934937","8589936597","","","","",""
"6090","8589934876","8589934935","8589935708","","","","",""
"6091","8589934876","25769803814","8589934957","","","","",""
"6092","8589934877","25769803815","8589934912","","","","",""
"6093","8589934878","8589934895","","","","","",""
"6094","8589934878","8589934948","8589936962","","","","",""
"6095","8589934879","25769803816","8589934954","","","","",""
"6096","8589934879","8589934903","8589936024","","","","",""
"6097","8589934880","8589934921","8589935840","8589936059","","","",""
"6098","8589934881","25769803817","8589934903","","","","",""
"6099","8589934882","8589934911","8589937248","","","","",""
"6100","8589934882","8589934910","8589936862","","","","",""
"6101","8589934883","25769803818","8589934942","","","","",""
"6102","8589934884","8589934893","8589937166","","","","",""
"6103","8589934884","8589934911","8589936174","","","","",""
"6104","8589934885","8589935442","","","","","",""
"6105","8589934885","8589934905","8589935294","","","","",""
"6106","8589934886","8589934950","8589935654","8589936958","","","",""
"6107","8589934886","8589934949","","","","","",""
"6108","8589934887","8589934937","","","","","",""
"6109","8589934888","38654705666","38654705667","38654705668","","","",""
"6110","8589934888","8589935442","","","","","",""
"6111","8589934890","8589934951","","","","","",""
"6112","8589934891","38654705666","38654705667","38654705668","","","",""
"6113","8589934892","8589934924","8589936840","8589937341","","","",""
"6115","8589934894","25769803819","8589934904","","","","",""
"6116","8589934896","8589934946","","","","","",""
"6117","8589934897","8589934899","8589935810","","","","",""
"6118","8589934897","8589934955","","","","","",""
"6119","8589934898","8589934933","8589936924","","","","",""
"6120","8589934899","25769803820","8589934945","","","","",""
"6121","8589934900","8589934936","","","","","",""
"6122","8589934901","8589934948","","","","","",""
"6123","8589934901","25769803821","8589934924","","","","",""
"6124","8589934902","8589934923","8589936162","","","","",""
"6125","8589934902","8589934908","","","","","",""
"6126","8589934905","8589934944","8589936085","8589936980","","","",""
"6127","8589934906","25769803822","8589934932","","","","",""
"6128","8589934907","8589936213","8589934741","8589934742","","","",""
"6129","8589934907","17179869195","8589934943","","","","",""
"6130","8589934908","8589935447","","","","","",""
"6131","8589934909","8589934917","8589936401","","","","",""
"6132","8589934909","8589934920","8589935804","","","","",""
"6133","8589934912","8589934947","8589935644","","","","",""
"6134","8589934913","8589934923","","","","","",""
"6135","8589934915","8589934953","","","","","",""
"6136","8589934916","8589934942","","","","","",""
"6137","8589934917","8589934919","8589935990","","","","",""
"6138","8589934918","8589934958","","","","","",""
"6139","8589934921","25769803823","8589934941","","","","",""
"6140","8589934922","8589934938","8589937119","","","","",""
"6141","8589934925","8589934955","8589935639","","","","",""
"6142","8589934926","8589934949","8589935560","","","","",""
"6143","8589934926","8589934959","8589935369","8589935556","8589936061","","",""
"6144","8589934927","8589935458","","","","","",""
"6145","8589934927","8589934945","8589936827","","","","",""
"6146","8589934929","8589934951","","","","","",""
"6147","8589934930","25769803824","8589934940","","","","",""
"6148","8589934930","8589935456","","","","","",""
"6149","8589934931","8589934932","","","","","",""
"6150","8589934934","8589935458","","","","","",""
"6151","8589934939","25769803825","8589934943","","","","",""
"6152","8589934941","8589934957","","","","","",""
"6153","8589934944","8589934950","","","","","",""
"6154","8589934946","8589934959","","","","","",""
"6155","8589934954","8589934958","8589935691","","","","",""
"6156","8589934960","8589935042","8589935105","","","","",""
"6157","8589934960","8589935001","","","","","",""
"6158","8589934961","8589935313","8589936821","","","","",""
"6159","8589934961","8589934969","","","","","",""
"6160","8589934962","8589935269","8589935310","","","","",""
"6161","8589934962","8589934983","","","","","",""
"6162","8589934963","8589934976","8589936104","","","","",""
"6163","8589934963","25769803826","8589934971","","","","",""
"6164","8589934964","25769803827","8589934999","","","","",""
"6165","8589934964","8589934975","","","","","",""
"6166","8589934965","8589934987","8589936841","","","","",""
"6167","8589934965","8589934974","8589935599","","","","",""
"6168","8589934966","8589934994","8589936682","","","","",""
"6169","8589934966","8589934972","","","","","",""
"6170","8589934967","8589934969","","","","","",""
"6171","8589934967","25769803828","8589934990","","","","",""
"6172","8589934968","8589935375","8589935954","","","","",""
"6173","8589934968","25769803829","8589935227","","","","",""
"6174","8589934970","8589934973","","","","","",""
"6175","8589934970","8589934985","","","","","",""
"6176","8589934971","8589934986","","","","","",""
"6177","8589934972","25769803830","8589935205","","","","",""
"6178","8589934973","8589935198","8589935762","8589936167","","","",""
"6179","8589934974","8589934976","","","","","",""
"6180","8589934978","8589935000","","","","","",""
"6181","8589934978","8589934994","","","","","",""
"6182","8589934979","8589935233","8589935292","8589935680","8589935922","","",""
"6183","8589934979","8589934988","8589934996","","","","",""
"6184","8589934980","8589935308","8589936723","8589936726","","","",""
"6185","8589934980","25769803833","25769803832","25769803831","","","",""
"6186","8589934981","25769803834","8589934986","","","","",""
"6187","8589934981","8589935457","","","","","",""
"6188","8589934982","8589935286","8589935385","","","","",""
"6189","8589934982","25769803835","25769803836","25769803837","","","",""
"6190","8589934983","25769803839","25769803840","25769803838","","","",""
"6191","8589934984","25769803841","8589935197","","","","",""
"6192","8589934985","8589934993","","","","","",""
"6193","8589934987","8589934991","","","","","",""
"6194","8589934988","25769803844","25769803842","25769803843","","","",""
"6195","8589934989","25769803846","25769803847","25769803845","8589935251","","",""
"6196","8589934989","25769803849","25769803850","25769803848","8589934997","","",""
"6197","8589934990","8589935245","","","","","",""
"6198","8589934991","8589934995","","","","","",""
"6199","8589934992","8589934998","8589935546","","","","",""
"6200","8589934992","8589935541","","","","","",""
"6201","8589934993","8589935000","8589936390","","","","",""
"6202","8589934995","8589935240","8589935348","8589936829","","","",""
"6203","8589934996","25769803852","25769803853","25769803851","","","",""
"6204","8589934997","8589935761","","","","","",""
"6205","8589934999","8589935001","8589936643","","","","",""
"6206","8589935002","25769803854","8589935071","","","","",""
"6207","8589935002","8589935183","","","","","",""
"6208","8589935003","8589935010","8589935744","","","","",""
"6209","8589935003","25769803855","8589935150","","","","",""
"6210","8589935004","8589935172","8589936966","","","","",""
"6211","8589935004","8589935017","8589937118","","","","",""
"6212","8589935005","8589935439","","","","","",""
"6213","8589935005","8589935032","8589935073","","","","",""
"6214","8589935006","8589935102","","","","","",""
"6215","8589935006","8589935045","8589937308","","","","",""
"6216","8589935007","25769803856","8589935072","","","","",""
"6217","8589935007","8589935437","","","","","",""
"6218","8589935008","8589935121","","","","","",""
"6219","8589935008","25769803857","8589935165","","","","",""
"6220","8589935009","8589935057","","","","","",""
"6222","8589935010","8589935034","","","","","",""
"6223","8589935011","25769803858","8589935021","","","","",""
"6224","8589935011","8589935024","8589935276","8589935361","","","",""
"6225","8589935012","8589935178","","","","","",""
"6226","8589935012","8589935118","","","","","",""
"6227","8589935013","8589935040","","","","","",""
"6229","8589935014","8589935017","8589935791","8589935805","8589936039","","",""
"6230","8589935014","8589935040","","","","","",""
"6231","8589935015","8589935049","","","","","",""
"6232","8589935015","8589935128","8589936358","","","","",""
"6233","8589935016","8589935155","","","","","",""
"6234","8589935016","25769803859","8589935041","","","","",""
"6235","8589935018","25769803860","8589935138","","","","",""
"6236","8589935018","25769803861","8589935071","","","","",""
"6237","8589935019","8589935141","8589937174","","","","",""
"6238","8589935019","8589935023","","","","","",""
"6239","8589935020","8589935143","","","","","",""
"6240","8589935020","25769803862","25769803863","25769803864","","","",""
"6241","8589935021","8589935126","","","","","",""
"6242","8589935022","8589935445","","","","","",""
"6243","8589935022","8589935177","8589937004","","","","",""
"6244","8589935023","25769803865","8589935104","","","","",""
"6245","8589935024","8589935083","","","","","",""
"6246","8589935025","8589935079","","","","","",""
"6247","8589935025","8589935175","","","","","",""
"6248","8589935026","8589935438","","","","","",""
"6249","8589935026","8589935136","8589936519","","","","",""
"6250","8589935027","8589935154","","","","","",""
"6251","8589935027","8589935108","","","","","",""
"6252","8589935028","8589935157","8589935837","","","","",""
"6253","8589935028","8589935076","8589937165","","","","",""
"6254","8589935029","25769803866","8589935052","","","","",""
"6255","8589935029","8589935072","8589935808","","","","",""
"6256","8589935030","8589935186","","","","","",""
"6257","8589935030","8589935178","","","","","",""
"6258","8589935031","8589935182","","","","","",""
"6259","8589935031","8589935046","8589935846","","","","",""
"6260","8589935032","8589935063","","","","","",""
"6261","8589935033","8589935176","","","","","",""
"6262","8589935033","25769803867","8589935158","","","","",""
"6263","8589935034","8589935152","","","","","",""
"6264","8589935035","8589935167","8589937286","","","","",""
"6265","8589935035","25769803868","8589935102","","","","",""
"6266","8589935036","25769803869","8589935145","","","","",""
"6267","8589935036","8589935451","","","","","",""
"6268","8589935037","8589935441","","","","","",""
"6269","8589935037","8589935075","8589935782","","","","",""
"6270","8589935038","8589935092","8589935953","","","","",""
"6271","8589935038","8589935187","","","","","",""
"6272","8589935039","25769803870","8589935070","","","","",""
"6273","8589935039","8589935044","8589936166","","","","",""
"6274","8589935041","25769803871","8589935094","","","","",""
"6275","8589935042","8589935068","","","","","",""
"6276","8589935043","8589935130","8589935658","","","","",""
"6277","8589935043","8589935129","8589936978","","","","",""
"6278","8589935044","8589935052","","","","","",""
"6279","8589935045","25769803872","8589935081","","","","",""
"6280","8589935046","8589935141","","","","","",""
"6281","8589935047","8589935056","8589936810","","","","",""
"6282","8589935047","8589935048","8589936453","","","","",""
"6283","8589935048","25769803873","8589935140","","","","",""
"6284","8589935049","8589935460","","","","","",""
"6285","8589935050","8589935151","8589935996","","","","",""
"6286","8589935050","8589935132","","","","","",""
"6287","8589935051","25769803874","8589935136","","","","",""
"6288","8589935051","8589935087","8589937095","","","","",""
"6289","8589935053","8589935145","8589935196","8589935862","8589935866","","",""
"6290","8589935053","25769803875","8589935117","","","","",""
"6291","8589935054","8589935116","","","","","",""
"6292","8589935054","25769803876","8589935138","","","","",""
"6293","8589935055","25769803877","8589935085","","","","",""
"6294","8589935055","8589935220","","","","","",""
"6295","8589935056","8589935094","8589935842","","","","",""
"6296","8589935057","25769803878","8589935169","","","","",""
"6297","8589935058","8589935160","8589935421","","","","",""
"6298","8589935058","8589935126","","","","","",""
"6299","8589935059","8589935142","","","","","",""
"6300","8589935059","8589935184","8589936025","","","","",""
"6301","8589935060","8589935123","","","","","",""
"6302","8589935060","8589935084","8589935665","","","","",""
"6303","8589935061","8589935188","","","","","",""
"6304","8589935061","25769803879","8589935085","","","","",""
"6305","8589935062","8589935074","8589937202","","","","",""
"6306","8589935062","8589935455","","","","","",""
"6307","8589935063","8589935176","","","","","",""
"6308","8589935064","8589935452","","","","","",""
"6309","8589935064","25769803880","8589935157","","","","",""
"6310","8589935065","8589935161","8589937065","8589937218","","","",""
"6311","8589935065","8589935120","8589936817","","","","",""
"6312","8589935066","8589935103","","","","","",""
"6313","8589935066","25769803881","8589935078","","","","",""
"6314","8589935067","8589935171","8589935339","","","","",""
"6315","8589935067","25769803882","8589935115","","","","",""
"6316","8589935068","8589935107","8589936295","","","","",""
"6317","8589935069","25769803883","8589935184","","","","",""
"6318","8589935069","25769803884","8589935097","","","","",""
"6319","8589935070","8589935148","8589935695","","","","",""
"6320","8589935073","8589935174","","","","","",""
"6321","8589935074","8589935165","8589935931","","","","",""
"6322","8589935075","8589935163","","","","","",""
"6323","8589935076","8589935079","8589935838","","","","",""
"6324","8589935077","8589935189","","","","","",""
"6325","8589935077","25769803885","8589934737","8589934738","8589936214","","",""
"6326","8589935078","8589935142","","","","","",""
"6327","8589935080","8589935127","","","","","",""
"6328","8589935080","8589935148","8589937283","","","","",""
"6329","8589935081","8589935438","","","","","",""
"6330","8589935082","8589935107","","","","","",""
"6331","8589935082","8589935109","","","","","",""
"6332","8589935083","8589935446","","","","","",""
"6333","8589935084","8589935089","","","","","",""
"6334","8589935086","17179869204","8589935166","","","","",""
"6335","8589935086","8589935443","","","","","",""
"6336","8589935087","8589935160","8589936511","","","","",""
"6337","8589935088","25769803886","8589935111","","","","",""
"6338","8589935088","8589935173","8589936422","8589936781","","","",""
"6339","8589935089","25769803887","8589935167","","","","",""
"6340","8589935090","8589935137","","","","","",""
"6341","8589935090","8589935105","8589935127","","","","",""
"6342","8589935091","8589935156","","","","","",""
"6343","8589935092","8589935122","","","","","",""
"6344","8589935093","25769803888","8589935104","","","","",""
"6345","8589935093","8589935137","","","","","",""
"6346","8589935095","8589935149","","","","","",""
"6347","8589935095","8589935452","","","","","",""
"6348","8589935096","8589935168","","","","","",""
"6349","8589935096","8589935154","","","","","",""
"6350","8589935097","25769803889","8589935180","","","","",""
"6351","8589935098","8589935158","","","","","",""
"6352","8589935098","8589935156","","","","","",""
"6353","8589935099","38654705669","38654705670","38654705671","","","",""
"6354","8589935099","8589935445","","","","","",""
"6355","8589935100","8589935164","8589936809","","","","",""
"6356","8589935100","8589935139","8589937014","","","","",""
"6357","8589935101","8589935135","","","","","",""
"6358","8589935101","25769803890","8589935196","","","","",""
"6359","8589935103","8589935150","","","","","",""
"6360","8589935106","8589935437","","","","","",""
"6361","8589935106","8589935121","","","","","",""
"6362","8589935108","25769803891","8589935125","","","","",""
"6363","8589935110","25769803892","8589935119","","","","",""
"6364","8589935110","25769803893","8589935153","","","","",""
"6365","8589935111","8589935128","","","","","",""
"6366","8589935112","8589935175","","","","","",""
"6367","8589935112","8589935185","8589937310","","","","",""
"6368","8589935113","8589934740","8589937323","8589934739","","","",""
"6369","8589935113","17179869202","8589935135","","","","",""
"6370","8589935114","25769803894","8589935183","","","","",""
"6371","8589935114","8589935162","8589935676","","","","",""
"6372","8589935115","25769803895","8589935155","","","","",""
"6373","8589935116","8589935446","","","","","",""
"6374","8589935117","8589935149","","","","","",""
"6375","8589935118","8589935168","","","","","",""
"6376","8589935119","8589935124","8589936850","","","","",""
"6377","8589935120","25769803896","8589935147","","","","",""
"6378","8589935122","8589935134","","","","","",""
"6379","8589935123","8589935185","8589936923","","","","",""
"6380","8589935124","25769803897","8589935187","","","","",""
"6381","8589935125","8589935146","","","","","",""
"6382","8589935129","8589935151","","","","","",""
"6383","8589935130","8589935179","","","","","",""
"6384","8589935131","8589935443","","","","","",""
"6385","8589935131","8589935182","8589937154","8589937163","","","",""
"6386","8589935132","8589935134","","","","","",""
"6387","8589935133","8589935143","","","","","",""
"6388","8589935139","25769803898","8589935188","","","","",""
"6389","8589935140","25769803899","8589935144","","","","",""
"6390","8589935144","8589935441","","","","","",""
"6391","8589935146","8589935439","","","","","",""
"6392","8589935147","8589935170","8589936508","8589936573","","","",""
"6393","8589935152","25769803900","8589935162","","","","",""
"6394","8589935153","8589935186","","","","","",""
"6395","8589935159","25769803901","8589935180","","","","",""
"6396","8589935159","38654705669","38654705670","38654705671","","","",""
"6397","8589935161","25769803902","8589935163","","","","",""
"6398","8589935164","8589935451","","","","","",""
"6399","8589935166","8589934737","8589934738","8589936214","","","",""
"6400","8589935170","8589935259","","","","","",""
"6401","8589935171","8589935181","8589936262","8589936628","","","",""
"6402","8589935172","8589935173","","","","","",""
"6403","8589935174","8589935460","","","","","",""
"6404","8589935177","8589935179","8589936216","","","","",""
"6405","8589935181","25769803903","8589935220","","","","",""
"6406","8589935189","8589935193","","","","","",""
"6407","8589935190","8589935450","","","","","",""
"6408","8589935191","8589935194","","","","","",""
"6409","8589935191","25769803904","8589935192","","","","",""
"6410","8589935192","8589935195","","","","","",""
"6411","8589935193","8589935195","","","","","",""
"6412","8589935194","8589935450","","","","","",""
"6413","8589935198","25769803905","8589935199","","","","",""
"6414","8589935199","8589935206","8589936488","","","","",""
"6415","8589935200","8589935205","","","","","",""
"6416","8589935200","25769803906","8589935208","","","","",""
"6417","8589935201","8589935217","8589936375","","","","",""
"6418","8589935201","8589935216","8589937225","","","","",""
"6419","8589935202","8589935204","","","","","",""
"6420","8589935202","8589935209","","","","","",""
"6421","8589935203","8589935208","","","","","",""
"6422","8589935203","8589935210","8589936421","","","","",""
"6423","8589935204","8589935212","8589936003","","","","",""
"6424","8589935206","8589935215","","","","","",""
"6425","8589935207","8589935214","8589936359","","","","",""
"6426","8589935209","25769803907","8589935213","","","","",""
"6427","8589935210","8589935211","8589936569","","","","",""
"6428","8589935211","25769803908","8589935217","","","","",""
"6429","8589935212","8589935214","8589936367","","","","",""
"6430","8589935213","25769803909","8589935215","","","","",""
"6431","8589935216","8589935699","8589936108","","","","",""
"6432","8589935218","8589935233","8589935688","","","","",""
"6433","8589935218","25769803910","8589935376","","","","",""
"6434","8589935219","8589935309","8589935828","","","","",""
"6435","8589935219","8589936452","","","","","",""
"6436","8589935221","8589935306","8589935326","","","","",""
"6437","8589935222","25769803911","8589935263","","","","",""
"6438","8589935222","25769803912","8589935224","","","","",""
"6439","8589935223","8589935454","","","","","",""
"6440","8589935223","25769803913","8589935422","","","","",""
"6441","8589935224","8589935228","","","","","",""
"6442","8589935225","8589935318","","","","","",""
"6443","8589935225","25769803914","8589935281","","","","",""
"6444","8589935226","8589935234","8589936209","","","","",""
"6445","8589935226","8589935231","8589936878","","","","",""
"6446","8589935227","8589935449","","","","","",""
"6447","8589935228","25769803915","8589935355","","","","",""
"6448","8589935229","8589935267","","","","","",""
"6449","8589935229","8589935393","8589937318","","","","",""
"6450","8589935230","8589935272","","","","","",""
"6451","8589935230","8589935303","8589937078","","","","",""
"6452","8589935231","25769803916","8589935267","","","","",""
"6453","8589935232","25769803917","8589935285","","","","",""
"6454","8589935232","8589935308","","","","","",""
"6455","8589935234","8589935293","","","","","",""
"6456","8589935235","8589935264","","","","","",""
"6457","8589935236","8589935324","8589936212","8589936751","","","",""
"6458","8589935236","25769803918","8589935391","","","","",""
"6459","8589935237","8589935362","8589937155","","","","",""
"6460","8589935237","8589935324","8589935598","8589937215","","","",""
"6461","8589935238","8589935245","","","","","",""
"6462","8589935238","8589935317","","","","","",""
"6463","8589935239","8589935325","","","","","",""
"6464","8589935239","8589935242","","","","","",""
"6465","8589935240","8589935285","","","","","",""
"6466","8589935241","8589935427","8589936060","","","","",""
"6467","8589935241","8589935314","8589936999","","","","",""
"6468","8589935242","8589935459","","","","","",""
"6469","8589935243","8589935246","","","","","",""
"6470","8589935244","25769803919","8589935301","","","","",""
"6471","8589935244","8589935319","8589936914","","","","",""
"6472","8589935246","8589935254","","","","","",""
"6473","8589935247","8589935322","8589935660","","","","",""
"6474","8589935247","8589935390","","","","","",""
"6475","8589935248","8589935310","","","","","",""
"6476","8589935248","8589935258","","","","","",""
"6477","8589935249","8589935299","","","","","",""
"6478","8589935249","8589935287","","","","","",""
"6479","8589935250","25769803920","8589935289","","","","",""
"6480","8589935251","8589935315","","","","","",""
"6481","8589935252","8589935337","8589935735","8589936015","","","",""
"6482","8589935252","8589935265","","","","","",""
"6483","8589935253","25769803921","8589935271","","","","",""
"6484","8589935253","25769803922","8589935362","","","","",""
"6485","8589935254","8589935257","8589936927","","","","",""
"6486","8589935255","8589935328","","","","","",""
"6487","8589935255","8589935318","8589936823","","","","",""
"6488","8589935256","8589935321","8589935325","8589937017","","","",""
"6489","8589935256","25769803923","8589935328","","","","",""
"6490","8589935257","8589935293","","","","","",""
"6491","8589935258","8589935286","","","","","",""
"6492","8589935259","25769803924","8589935392","","","","",""
"6493","8589935260","8589935289","8589937107","","","","",""
"6494","8589935260","25769803925","8589935299","","","","",""
"6495","8589935261","25769803926","25769803927","8589935305","","","",""
"6496","8589935261","8589935453","","","","","",""
"6497","8589935262","8589935279","","","","","",""
"6498","8589935262","8589935354","8589936485","","","","",""
"6499","8589935263","8589935266","","","","","",""
"6500","8589935264","8589935288","","","","","",""
"6501","8589935265","8589936335","","","","","",""
"6502","8589935266","8589935303","8589936187","8589937101","","","",""
"6503","8589935268","25769803928","8589935372","","","","",""
"6504","8589935268","25769803929","8589935275","","","","",""
"6505","8589935269","8589935282","","","","","",""
"6506","8589935270","25769803930","8589935291","","","","",""
"6507","8589935270","25769803931","8589935313","","","","",""
"6508","8589935271","25769803932","8589935366","","","","",""
"6509","8589935272","25769803933","8589935383","","","","",""
"6510","8589935273","8589935392","","","","","",""
"6511","8589935273","25769803934","8589935365","","","","",""
"6512","8589935274","8589935275","8589937016","","","","",""
"6513","8589935274","8589935316","","","","","",""
"6514","8589935276","8589935454","","","","","",""
"6515","8589935277","25769803935","8589935280","","","","",""
"6516","8589935277","8589935379","8589935612","","","","",""
"6517","8589935278","8589935287","8589935767","","","","",""
"6518","8589935278","8589935301","8589936849","","","","",""
"6519","8589935279","25769803936","8589935314","","","","",""
"6520","8589935280","8589935316","","","","","",""
"6521","8589935281","8589935296","","","","","",""
"6522","8589935282","8589935449","","","","","",""
"6523","8589935283","8589935295","","","","","",""
"6524","8589935283","8589936109","","","","","",""
"6525","8589935284","25769803937","8589935327","","","","",""
"6526","8589935284","25769803938","8589935300","","","","",""
"6527","8589935288","25769803939","8589935311","","","","",""
"6528","8589935290","25769803940","8589935330","","","","",""
"6529","8589935290","8589935298","8589936507","8589936676","","","",""
"6530","8589935291","8589935311","","","","","",""
"6531","8589935292","25769803941","8589935342","","","","",""
"6532","8589935294","8589935295","","","","","",""
"6533","8589935296","8589935372","8589937063","","","","",""
"6534","8589935297","8589935377","","","","","",""
"6535","8589935297","8589935302","8589937068","","","","",""
"6537","8589935300","25769803942","8589935401","","","","",""
"6538","8589935304","25769803943","25769803944","25769803945","8589935306","","",""
"6539","8589935305","8589935407","8589936138","","","","",""
"6540","8589935307","8589935319","8589936454","","","","",""
"6541","8589935307","8589935428","8589936995","","","","",""
"6542","8589935309","8589935411","8589936442","8589936795","","","",""
"6543","8589935312","8589935459","","","","","",""
"6544","8589935312","25769803946","25769803947","25769803948","","","",""
"6545","8589935315","8589935348","8589935389","8589936584","8589936997","","",""
"6546","8589935317","8589935333","8589936898","","","","",""
"6547","8589935320","8589935347","","","","","",""
"6548","8589935320","8589935342","","","","","",""
"6549","8589935321","25769803949","8589935341","","","","",""
"6550","8589935322","8589935453","","","","","",""
"6551","8589935323","25769803950","8589935390","","","","",""
"6552","8589935323","25769803951","8589935380","","","","",""
"6553","8589935326","25769803953","25769803952","25769803954","","","",""
"6554","8589935327","17179869198","8589935420","","","","",""
"6556","8589935330","8589935397","8589936071","8589936614","","","",""
"6557","8589935331","8589935340","8589935888","","","","",""
"6558","8589935331","25769803955","8589935335","","","","",""
"6559","8589935332","8589935355","","","","","",""
"6560","8589935332","8589935939","8589936492","8589936710","","","",""
"6561","8589935333","8589935345","","","","","",""
"6562","8589935334","8589935336","","","","","",""
"6563","8589935334","25769803956","8589935349","","","","",""
"6564","8589935335","8589935444","","","","","",""
"6565","8589935336","8589935351","8589936075","","","","",""
"6566","8589935337","25769803957","8589935387","","","","",""
"6567","8589935338","25769803958","8589935350","","","","",""
"6568","8589935338","8589935377","","","","","",""
"6569","8589935339","8589935387","","","","","",""
"6570","8589935340","25769803959","8589935376","","","","",""
"6571","8589935341","25769803960","8589935343","","","","",""
"6572","8589935343","8589935440","","","","","",""
"6573","8589935344","8589935380","8589935937","8589937136","","","",""
"6574","8589935344","25769803963","25769803962","25769803961","8589935363","","",""
"6575","8589935345","8589935357","","","","","",""
"6576","8589935346","8589935368","8589936117","8589937227","","","",""
"6577","8589935346","8589935352","8589937236","","","","",""
"6578","8589935347","25769803964","8589935371","","","","",""
"6579","8589935349","8589935389","","","","","",""
"6580","8589935350","8589935448","","","","","",""
"6581","8589935351","8589935385","","","","","",""
"6582","8589935352","8589935425","8589937184","8589937317","","","",""
"6583","8589935353","8589935444","","","","","",""
"6584","8589935353","38654705674","38654705672","38654705673","","","",""
"6585","8589935354","8589935383","8589935877","8589936689","","","",""
"6586","8589935356","8589934823","","","","","",""
"6587","8589935356","8589935366","8589936022","8589936095","","","",""
"6588","8589935357","8589935386","8589935774","8589937045","","","",""
"6589","8589935358","8589935367","","","","","",""
"6590","8589935358","8589935368","8589936497","","","","",""
